Rank,State,Life_Expectancy_at_Birth,Avg_Life_Expectancy,Male,Female,Literacy_Rate,Undernutrition
13,Andhra Pradesh,68.5,70.25,68.4,72.1,67.66,32.5
21,Assam,63.9,66.2,65.6,66.8,73.18,36.4
14,Bihar,68.1,69.9,69.6,70.2,63.82,55.9
18,Chhattisgarh,64.8,63.6,61.6,65.7,71.04,47.1
3,Delhi,73.2,72.85,71.8,73.9,86.34,26.1
11,Gujarat,68.7,69.5,67.4,71.8,79.31,44.6
12,Haryana,68.6,69.6,68,71.4,76.64,39.6
5,Himachal Pradesh,71.6,72.3,69.4,75.5,83.78,36.5
2,Jammu & Kashmir,73.6,73.5,71.6,76.2,68.74,25.6
16,Jharkhand,66.6,66.15,65.5,66.8,67.63,56.5
10,Karnataka,68.8,71.25,69,73.5,75.6,37.6
1,Kerala,74.9,75.1,72.2,79.9,93.91,22.9
19,Madhya Pradesh,64.2,66.9,66.5,67.3,70.63,60
7,Maharashtra,71.6,72.2,70.8,73.7,82.91,37
17,Odisha,65.8,67.95,66.3,69.6,73.45,40.7
6,Punjab,71.6,72.5,71,74.2,76.68,24.9
15,Rajasthan,67.7,70.25,68.6,71.9,67.06,39.9
8,Tamil Nadu,70.6,71.4,68.5,74.8,80.33,29.8
20,Uttar Pradesh,64.1,68.35,67.5,69.2,69.74,42.4
4,Uttarakhand,71.7,71.5,68.5,74.8,79.63,38
9,West Bengal,70.2,70.8,69.8,71.9,77.08,38.7
